ID,Avg_Rating,Num_Reviews,AVG_cnt,Pos_Negative_Proba,Avg_Feedback,Avg_age
1077,4.0,251,329.66932270916334,0.7631031306384911,2.135458167330677,41.96812749003984
1049,4.0,25,359.72,0.8438075914196732,3.12,44.44
847,4.0,4,358.25,0.8907332181325518,2.0,42.0
1080,4.0,241,342.1161825726141,0.7758238164973126,3.0622406639004147,40.79253112033195
858,4.0,18,370.44444444444446,0.722670587702033,2.111111111111111,44.5
1095,4.0,287,369.3623693379791,0.7370846171629937,3.7142857142857144,41.12891986062718
767,5.0,1,377.0,0.6797050041025168,0.0,44.0
1065,4.0,16,352.0,0.787160551760061,3.0,40.6875
853,4.0,6,348.6666666666667,0.5428177891183231,3.1666666666666665,39.166666666666664
1120,4.0,2,330.5,0.9544434508242555,0.0,49.0
697,4.0,2,303.0,0.5828637627494964,0.0,35.0
949,4.0,69,315.0,0.828262119053286,2.0869565217391304,46.78260869565217
1003,4.0,21,327.9047619047619,0.8513528599333232,1.619047619047619,39.80952380952381
684,5.0,1,192.0,0.5446665977381063,2.0,53.0
4,5.0,1,445.0,0.9027351825931572,0.0,28.0
1060,4.0,81,342.9259259259259,0.8017068051498172,3.5308641975308643,43.123456790123456
910,4.0,4,241.0,0.856541111521233,2.75,52.0
89,4.0,1,499.0,0.799802358251377,1.0,67.0
862,4.0,658,293.60790273556233,0.7816585980673725,2.5835866261398177,43.54255319148936
368,2.0,2,383.0,0.5503463604540845,0.5,44.0
1078,4.0,871,328.4776119402985,0.7785613989171228,2.859931113662457,42.71986222732492
845,4.0,4,398.75,0.3581652956555518,7.75,47.25
822,4.0,29,330.62068965517244,0.7954672078197966,2.2413793103448274,44.44827586206897
850,4.0,280,320.45714285714286,0.8047017941775495,3.1035714285714286,43.76428571428571
1082,4.0,119,336.3529411764706,0.7534367227334225,3.495798319327731,44.7563025210084
836,4.0,172,322.98837209302326,0.7730317960429096,3.9709302325581395,43.424418604651166
1081,4.0,487,336.97125256673513,0.7926402728965584,3.2032854209445585,42.29363449691992
1072,4.0,166,337.36746987951807,0.7379403945761231,3.3795180722891565,43.87951807228916
1133,3.0,6,364.8333333333333,0.8467274963316903,2.1666666666666665,48.833333333333336
861,4.0,203,267.2758620689655,0.7937635090300208,2.6403940886699506,43.645320197044335
863,4.0,243,271.57201646090533,0.8135865420962508,2.2222222222222223,46.48148148148148
923,4.0,7,249.71428571428572,0.7715859570958331,9.142857142857142,48.142857142857146
966,4.0,18,304.44444444444446,0.8194451637803193,1.6666666666666667,39.05555555555556
126,4.0,1,500.0,0.4464215965296552,1.0,34.0
1008,4.0,163,308.90184049079755,0.8355972868288447,2.3190184049079754,41.98159509202454
829,4.0,452,314.4314159292035,0.7838232822383772,2.4579646017699117,44.49778761061947
828,4.0,181,311.16022099447514,0.8036338845812934,3.5027624309392267,44.193370165745854
1011,4.0,16,355.5625,0.8203955858823005,2.0625,46.0
523,3.0,1,400.0,0.41495704200933126,2.0,43.0
1126,4.0,36,353.77777777777777,0.7938815150033048,0.8333333333333334,44.75
1020,4.0,133,307.6842105263158,0.8171519910554993,2.8721804511278197,44.090225563909776
895,4.0,336,297.7886904761905,0.802359853023192,2.0238095238095237,44.464285714285715
1104,4.0,147,318.06802721088434,0.7454325358833944,3.36734693877551,39.98639455782313
670,4.0,2,299.5,0.965066866184509,0.0,51.0
329,5.0,1,193.0,0.8923286617508636,0.0,46.0
868,4.0,370,304.8216216216216,0.745893940583764,2.7621621621621624,44.543243243243246
1094,4.0,651,339.49615975422427,0.7680684193456795,3.4807987711213517,41.56221198156682
596,5.0,1,109.0,0.8034338889090958,2.0,41.0
1075,4.0,62,312.5483870967742,0.7340013963930158,1.967741935483871,44.096774193548384
305,2.0,1,144.0,0.2958590381532325,0.0,46.0
647,4.0,4,346.5,0.7552227070821942,2.5,35.5
1025,4.0,100,323.97,0.8452445471726188,1.48,43.7
815,4.0,41,334.0243902439024,0.7242691183907579,3.1951219512195124,47.02439024390244
1066,4.0,78,337.8076923076923,0.887324877605555,2.3974358974358974,45.34615384615385
840,4.0,44,307.0681818181818,0.7452239039369281,2.9545454545454546,45.27272727272727
1026,5.0,16,380.3125,0.9009442690601348,0.8125,42.5
1030,4.0,59,318.1694915254237,0.8432296335515389,1.423728813559322,43.91525423728814
872,4.0,450,294.29555555555555,0.8071052308263582,2.2888888888888888,43.57333333333333
1115,4.0,20,379.55,0.8143533485396126,3.1,41.35
